0,9.338893,10.207795,0.009184,0.013160
1,9.287126,10.583368,0.008798,0.013517
2,9.198075,11.017185,0.008341,0.013938
3,9.065650,11.522461,0.007802,0.014435
4,8.883452,12.115951,0.007165,0.015023
5,8.645031,12.818986,0.006414,0.015716
6,8.344268,13.658830,0.005526,0.016532
7,7.975947,14.670411,0.004479,0.017493
8,7.536529,15.898510,0.003241,0.018623
9,7.025143,17.400428,0.001778,0.019951
10,6.444742,19.249090,0.000049,0.021507
11,5.803268,21.536414,-0.001998,0.023330
12,5.114504,24.376572,-0.004419,0.025461
13,4.398135,27.908574,-0.007286,0.027949
14,3.678478,32.297576,-0.010681,0.030852
15,2.981608,37.734513,-0.014700,0.034235
16,2.331313,44.434354,-0.019457,0.038178
17,1.745160,52.634124,-0.025084,0.042774
18,1.232257,62.592491,-0.031733,0.048133
19,0.793486,74.592619,-0.039585,0.054389
20,0.423641,88.949152,-0.048849,0.061699
21,0.114177,106.019104,-0.059773,0.070251
22,-0.144517,126.215772,-0.072644,0.080267
23,-0.361683,150.024699,-0.087805,0.092007
24,-0.545501,178.021122,-0.105655,0.105779
25,-0.702871,210.888865,-0.126667,0.121945
26,-0.839447,249.441031,-0.151395,0.140929
27,-0.959765,294.643182,-0.180492,0.163233
28,-1.067409,347.639788,-0.214726,0.189443
29,-1.165167,409.784861,-0.255001,0.220250
30,-1.255173,482.677764,-0.302379,0.256466
31,-1.339033,568.205264,-0.358113,0.299046
32,-1.417936,668.591041,-0.423672,0.349111
33,-1.492748,786.454024,-0.500786,0.407982
34,-1.564089,924.877137,-0.591490,0.477211
35,-1.632407,1087.488285,-0.698179,0.558624
36,-1.698026,1278.555750,-0.823667,0.654366
37,-1.761184,1503.100497,-0.971264,0.766964
38,-1.822066,1767.028379,-1.144866,0.899387
39,-1.880819,2077.285709,-1.349053,1.055126
40,-1.937568,2442.042312,-1.589211,1.238290
41,-1.992420,2870.906882,-1.871678,1.453709
42,-2.045471,3375.180314,-2.203904,1.707066
43,-2.096810,3968.153704,-2.594655,2.005043
44,-2.146517,4665.458865,-3.054239,2.355500
45,-2.194666,5485.480605,-3.594782,2.767682
46,-2.241327,6449.841647,-4.230542,3.252461
47,-2.286565,7583.972970,-4.978292,3.822624
48,-2.330442,8917.784625,-5.857759,4.493213
49,-2.373014,10486.454720,-6.892142,5.281916
50,-2.414336,12331.357378,-8.108731,6.209538
51,-2.454459,14501.154153,-9.539619,7.300551
52,-2.493432,17053.077699,-11.222554,8.583734
53,-2.531300,20054.441543,-13.201931,10.092937
54,-2.568107,23584.415799,-15.529969,11.867973
55,-2.603895,27736.115667,-18.268081,13.955666
56,-2.638703,32619.057799,-21.488500,16.411090
57,-2.672568,38362.049349,-25.276180,19.299018
58,-2.705526,45116.585902,-29.731042,22.695634
59,-2.737611,53060.847933,-34.970606,26.690540
60,-2.768855,62404.401223,-41.133093,31.389122
61,-2.799290,73393.725209,-48.381071,36.915328
62,-2.828944,86318.715141,-56.905742,43.414940
63,-2.857846,101520.329544,-66.931988,51.059419
64,-2.886022,119399.584732,-78.724304,60.050424
65,-2.913499,140428.133671,-92.593773,70.625142
66,-2.940301,165160.708228,-108.906274,83.062532
67,-2.966450,194249.753064,-128.092131,97.690694
68,-2.991970,228462.637203,-150.657473,114.895522
69,-3.016883,268701.897314,-177.197574,135.130880
70,-3.041208,316029.046740,-208.412567,158.930578
71,-3.064965,371692.578349,-245.125907,186.922456
72,-3.088173,437160.899926,-288.306098,219.844942
73,-3.110851,514161.070959,-339.092238,258.566535
74,-3.133015,604724.362676,-398.824073,304.108716
75,-3.154682,711239.843235,-469.077336,357.672892
76,-3.175868,836517.401646,-551.705317,420.672094
77,-3.196588,983861.872988,-648.887754,494.768246
78,-3.216858,1157160.220378,-763.188331,581.916016
79,-3.236690,1360984.073549,-897.622313,684.414372
80,-3.256099,1600710.329014,-1055.736085,804.967232
